date;academie;nombre_classes_fermees;nombre_structures_fermees;periode_vacances;protocole_en_vigueur
2020-09-18;Amiens;;1;0;2
2020-09-18;Dijon;;1;0;2
2020-09-18;Toulouse;;12;0;2
2020-09-18;Poitiers;;3;0;2
2020-09-18;Clermont-Ferrand;;1;0;2
2020-09-18;Créteil;;2;0;2
2020-09-18;Martinique;;0;0;2
2020-09-25;Amiens;51;0;0;2
2020-09-25;Nancy-Metz;1;1;0;2
2020-09-25;Besançon;15;0;0;2
2020-09-25;Nice;3;0;0;2
2020-09-25;Corse;0;0;0;2
2020-09-25;Rennes;74;2;0;2
2020-09-25;Guyane;0;0;0;2
2020-09-25;La Réunion;95;0;0;2
2020-10-02;Lille;76;0;0;2
2020-10-02;Dijon;7;0;0;2
2020-10-02;Lyon;33;0;0;2
2020-10-02;Grenoble;4;0;0;2
2020-10-02;Nice;2;0;0;2
2020-10-02;Orléans-Tours;2;0;0;2
2020-10-02;Nantes;4;0;0;2
2020-10-02;Versailles;26;0;0;2
2020-10-02;La Réunion;4;0;0;2
2020-10-09;Nancy-Metz;3;0;0;2
2020-10-09;Dijon;8;0;0;2
2020-10-09;Montpellier;51;0;0;2
2020-10-09;Orléans-Tours;8;0;0;2
2020-10-16;Lyon;10;0;0;2
2020-10-16;Limoges;5;1;0;2
2020-10-16;Paris;10;0;0;2
2020-11-06;Reims;0;0;0;2
2020-11-06;Strasbourg;0;0;0;2
2020-11-06;Dijon;0;0;0;2
2020-11-06;Grenoble;0;1;0;2
2020-11-06;Aix-Marseille;0;0;0;2
2020-11-06;Montpellier;1;0;0;2
2020-11-06;Clermont-Ferrand;0;0;0;2
2020-11-06;Guyane;0;0;0;2
2020-11-13;Besançon;2;0;0;2
2020-11-13;Lyon;0;3;0;2
2020-11-13;Nice;3;0;0;2
2020-11-13;Montpellier;23;0;0;2
2020-11-13;Nantes;2;0;0;2
2020-11-13;La Réunion;6;0;0;2
2020-11-20;Grenoble;12;2;0;2
2020-11-20;Aix-Marseille;7;2;0;2
2020-11-20;Nice;2;4;0;2
2020-11-20;Clermont-Ferrand;1;0;0;2
2020-11-27;Amiens;3;0;0;2
2020-11-27;Dijon;2;0;0;2
2020-11-27;Lyon;0;1;0;2
2020-11-27;Nice;2;4;0;2
2020-11-27;Clermont-Ferrand;1;0;0;2
2020-11-27;Créteil;5;0;0;2
2020-12-04;Strasbourg;12;0;0;2
2020-12-04;Lyon;1;1;0;2
2020-12-04;Montpellier;17;0;0;2
2020-12-04;Toulouse;2;2;0;2
2020-12-04;Bordeaux;4;1;0;2
2020-12-04;Clermont-Ferrand;2;1;0;2
2020-12-04;Versailles;15;1;0;2
2020-12-04;Paris;7;0;0;2
2020-12-04;Martinique;0;0;0;2
2020-12-04;Guyane;0;0;0;2
2020-12-11;Amiens;5;0;0;2
2020-12-11;Grenoble;7;1;0;2
2020-12-11;Nice;10;0;0;2
2020-12-11;Toulouse;5;4;0;2
2020-12-11;Bordeaux;6;3;0;2
2020-12-11;Poitiers;5;1;0;2
2020-12-11;Nantes;3;0;0;2
2020-12-11;Rennes;2;0;0;2
2020-12-11;Normandie;2;0;0;2
2020-12-11;Versailles;6;2;0;2
2020-12-18;Lille;10;0;0;2
2020-12-18;Lyon;0;0;0;2
2020-12-18;Nice;4;1;0;2
2020-12-18;Limoges;13;0;0;2
2020-12-18;Orléans-Tours;8;3;0;2
2020-12-18;Versailles;3;0;0;2
2020-12-18;Créteil;4;0;0;2
2020-12-18;Guadeloupe;0;0;0;2
2020-12-18;Mayotte;0;0;0;2
2021-01-08;Reims;0;0;0;2
2021-01-08;Rennes;0;0;0;2
2021-01-08;Guadeloupe;0;0;0;2
2021-01-08;Guyane;0;0;0;2
2021-01-08;La Réunion;0;0;0;2
2021-01-15;Grenoble;4;3;0;2
2021-01-15;Bordeaux;11;1;0;2
2021-01-15;Poitiers;2;0;0;2
2021-01-15;Nantes;4;0;0;2
2021-01-15;Créteil;5;3;0;2
2021-01-15;Guadeloupe;0;0;0;2
2021-01-15;Mayotte;0;0;0;2
2021-01-22;Nancy-Metz;3;0;0;2
2021-01-22;Dijon;11;0;0;2
2021-01-22;Corse;0;0;0;2
2021-01-22;Clermont-Ferrand;12;4;0;2
2021-01-22;Rennes;15;2;0;2
2021-01-22;Normandie;6;0;0;2
2021-01-22;La Réunion;0;0;0;2
2021-01-29;Besançon;17;0;0;2
2021-01-29;Grenoble;15;4;0;2
2021-01-29;Nice;25;4;0;2
2021-01-29;Toulouse;32;9;0;2
2021-01-29;Bordeaux;27;2;0;2
