date;nombre_total_classes;nombre_classes_fermees;taux_classes_fermees;nombre_total_structures;nombre_structures_fermees;taux_structures_fermees;nombre_total_ecoles;nombre_ecoles_fermees;nombre_total_colleges;nombre_colleges_fermes;nombre_total_lycees;nombre_lycees_fermes;nombre_cas_eleves_24h;nombre_cas_personnels_24h;nombre_cas_eleves_7j;nombre_cas_personnels_7j;taux_cas_eleves_7j;taux_cas_personnels_7j;total_eleves;total_personnels;vacances_a;vacances_b;vacances_c;protocole_en_vigueur;tests_salivaires_proposes;tests_salivaires_realises;taux_positivite_tests_salivaires
2020-11-13;528400;142;0.03;61500;21;0.03;50100;15;7200;5;4200;1;2838;476;12487;2223;0.1;0.19;12400000;1162850;0;0;0;2;;;
2020-12-18;528400;146;0.03;61500;34;0.05;50100;25;7200;7;4200;2;687;904;5264;904;0.04;0.08;12400000;1162850;0;0;0;2;;;
2021-01-29;528400;444;0.08;61500;96;0.16;50100;75;7200;17;4200;4;1910;331;11864;1864;0.1;0.16;12400000;1162850;0;0;0;2;;;
2021-02-05;528400;934;0.17;61500;105;0.18;50100;83;7200;16;4200;6;1776;258;12520;1808;0.1;0.15;12400000;1162850;0;0;0;2;;;
2021-04-30;289380;1118;0.39;50100;19;0.04;;;;;;;778;53;2067;231;0.04;0.08;5480717;295575;0;0;0;5;;;
2021-05-21;528400;5110;0.97;61500;19;0.34;50100;19;7200;2;4200;0;2756;286;12922;1322;0.1;0.11;12400000;1162850;0;0;0;5;255861;173299;0.17
2021-05-28;528400;5115;0.97;61500;23;0.04;50100;23;7200;2;4200;0;2133;181;11725;886;0.09;0.08;12400000;1162850;0;0;0;5;610221;346221;0.22
2020-09-18;;;;61500;89;0.14;50100;76;7200;5;4200;8;891;284;5056;1307;0.04;0.11;12400000;1162850;0;0;0;2;;;
2020-12-04;528400;123;0.02;61500;10;0.02;50100;8;7200;2;4200;0;691;114;5128;748;0.04;0.06;12400000;1162850;0;0;0;2;;;
2021-02-12;;1599;;46527;103;0.22;38024;69;5513;26;2990;8;1606;217;10390;1308;;;;;1;0;0;2;;;
2021-03-05;;430;;32192;14;0.04;26365;11;3760;3;2067;0;749;92;3941;491;;;;;0;1;0;3;;;
2021-05-07;528400;4992;0.94;61500;32;0.05;50100;25;7200;6;4200;1;2065;176;9536;768;0.07;0.07;12400000;1162850;0;0;0;5;322064;207554;0.18
2021-06-11;528400;2709;0.51;61500;19;0.04;50100;18;7200;1;4200;0;979;68;6884;418;0.05;0.04;12400000;1162850;0;0;0;5;581184;293948;0.16
2020-10-09;528400;199;0.04;61500;24;0.04;50100;21;7200;1;4200;2;845;269;5279;1276;0.04;0.11;12400000;1162850;0;0;0;2;;;
2021-03-26;528400;3256;0.6;61500;148;0.24;50100;116;7200;22;4200;10;4025;443;21183;2515;0.17;0.22;12400000;1162850;0;0;0;3;320285;200404;0.49
2021-06-25;528400;674;0.13;61500;9;0.015;50100;8;7200;1;4200;0;218;24;1689;167;0.014;0.014;12400000;1162850;0;0;0;5;433162;212649;0.07
2020-10-16;528400;293;0.06;61500;27;0.04;50100;22;7200;3;4200;2;1713;440;8223;2063;0.07;0.18;12400000;1162850;0;0;0;2;;;
2020-11-20;528400;222;0.04;61500;20;0.03;50100;13;7200;4;4200;3;1831;259;13870;2011;0.11;0.17;12400000;1162850;0;0;0;2;;;
2021-01-08;528400;9;0.01;61500;2;0.01;50100;0;7200;1;4200;1;;;1958;345;0.01;0.01;12400000;1162850;0;0;0;2;;;
2021-02-19;;1195;;26765;66;0.25;22395;48;2894;14;1476;4;847;120;5422;647;;;;;1;0;1;3;;;
