Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
14/02/2020,,,,,,,,,,,,,,,,,,
15/02/2020,,,,,,,,,,,,,,0.2,,,,
16/02/2020,,,8,8,,,,,,,11,,,0.3,,,,
17/02/2020,,,50,50,,,,,,,12,,,0.4,,,,
18/02/2020,,,50,50,,,,,,,14,,,0.5,,,12,12
19/02/2020,,,50,50,,,,,,2.4,16.4,,,0.6,0.6,,12,12
20/02/2020,,,50,50,,,,,,20,36.4,,,0.7,0.9,,12,12
21/02/2020,,,50,50,,,,,,25,61.4,,,0.9,1.5,1.62142857142857,12,12
22/02/2020,,,50,50,,,,,,30,91.4,0,0,1,2.2,2.32857142857143,12,12
23/02/2020,,,50,50,,,,,,35,126.4,0,0,2,3.1,3.32142857142857,12,12
24/02/2020,,,50,50,,,,,,45,171.4,0,0,2.4,4.1,4.67142857142857,12,12
25/02/2020,,,10.4444284954811,10.4444284954811,,,,,,50,221.4,0,0,20,6.1,8.95714285714286,14,14
26/02/2020,,,9.59417564112301,9.59417564112301,,,,,,100,321.4,0,0,25,8.5,18.0714285714286,16.4,18
27/02/2020,,,8.80513784461153,8.80513784461153,,,,,,120,441.4,0,0,30,28.5,34.2285714285714,36.4,38
28/02/2020,,,8.074783625731,8.074783625731,,,,,,208.888569909623,650.288569909623,0,0,35,53.5,57.4285714285714,61.4,57
29/02/2020,,,7.40058150426571,7.40058150426571,,,,,,239.854391028075,890.142960937698,0,0,45,83.5,88.1428571428571,91.4,100
01/03/2020,6.78,,6.78,6.78,,,,,,264.154135338346,1154.29709627604,0,0,50,118.5,124.928571428571,126.4,130
02/03/2020,,,6.21050763271816,6.21050763271816,,,,,,282.617426900585,1436.91452317663,0,0,100,163.5,174.571428571429,171.4,191
03/03/2020,,,5.6895729222045,5.6895729222045,,,,,,333.026167691957,1769.94069086859,0,0,120,213.5,242.071428571429,221.4,212
04/03/2020,,,5.21466438824334,5.21466438824334,,,,,,339,2108.94069086859,0,0,208.888569909623,313.5,343.341224272803,321.4,285
05/03/2020,,,4.78325055061897,4.78325055061897,,,,,,621.050763271816,2729.9914541404,0,0,239.854391028075,433.5,485.225116543162,441.4,423
06/03/2020,,,4.39279992911572,4.39279992911572,,,,,,682.74875066454,3412.74020480494,0,0,264.154135338346,642.388569909623,674.041239643119,650.288569909623,613
07/03/2020,,,4.04078104351789,4.04078104351789,,,,,,1089.28378661879,4502.02399142373,0,0,282.617426900585,882.242960937698,901.45413490436,890.142960937698,949
08/03/2020,,,3.72466241360978,3.72466241360978,,,,,,1147.28364795342,5649.30763937715,0,0,333.026167691957,1146.39709627604,1166.30138278597,1154.29709627604,1126
09/03/2020,,,3.44191255917572,3.44191255917572,,,,,,1160.37626698991,6809.68390636706,0,0,339,1429.01452317663,1457.70991126807,1436.91452317663,1412
10/03/2020,3.19,,3.19,3.19,,,,,,1141.99514118769,7951.67904755474,0,0,621.050763271816,1762.04069086859,1812.52182188878,1769.94069086859,1784
11/03/2020,,,2.96639325586694,2.96639325586694,,,,,,1240.41004955074,9192.08909710549,0,0,682.74875066454,2101.04069086859,2251.73347531889,2108.94069086859,2281
12/03/2020,,,2.76856084656085,2.76856084656085,,,,,,1166.80835756057,10358.8974546661,0,0,1089.28378661879,2722.0914541404,2851.3098477262,2729.9914541404,2876
13/03/2020,,,2.59397129186603,2.59397129186603,,,,,,1981.15193483709,12340.0493895031,0,0,1147.28364795342,3404.84020480494,3625.2074154574,3412.74020480494,3661
14/03/2020,,,2.44009311156679,2.44009311156679,,,,,,2025.30128942287,14365.350678926,0,0,1160.37626698991,4494.12399142373,4583.07072994686,4502.02399142373,4500
15/03/2020,,,2.30439482544746,2.30439482544746,,,,,,3015.74844242631,17381.0991213523,0,0,1141.99514118769,5641.40763937715,5653.61376825717,5649.30763937715,5423
