,Date limite du jeu de variables,30/04/2021,15/05/2021,30/05/2021,14/06/2021,15/07/2021,29/08/2021
qEI ,% exposé vers infectieux,37,36,35,35,36,36
dI ,Durée de contagiosité jours (ce n’est pas un changement d’état),3,3,3,3,3,3
dEI ,Délai Exposé vers Infectieux jours,5,5,5,5,5,5
dEP ,Délai Exposé vers Positifs au test jours,7,7,7,7,7,7
dIP ,Délai Infectioeux vers Positif au test jours,2,2,2,2,2,2
ceA,Correctif écart asymptomatiques,0.15,0.2,0.17,0.2,0.3,0.25
dPH ,Délai entrée hôpital,3,3,3,3,3,3
qPH ,% Positif vers hôpital,17,19,15,15,12,8
qOB ,% sOins vers réhospitalisation Boucle,60,65,65,90,100,100
dHC ,délai Hôpital vers réanimation (Critique) jours,3,3,3,3,3,3
qHC ,% Hôpital vers réanimation,25,21,21,21,22,22
dHO ,délai Hôpital vers sOins,4,4,4,3,3,3
qHO ,% Hôpital vers sOins,7,7,7,7,11,11
dHR ,Délai Hôpital vers retour à domicile,13,13,15,13,7,6
dCD ,Délai réanimation vers Décès jours,8,8,8,8,8,8
qCD ,% réanimation vers Décès,27,29,25,28,32,23
dCO ,Délai réanimation vers sOins jours,15,18,22,27,30,40
dOR ,Délai sOins vers Retour à domicile jours,19,21,23,29,33,46
dOB ,Délai sOins vers réhospitalisation Boucle,4,4,4,5,6,6
dBF ,Délai réhospitalisation Boucle vers Fausse sortie,25,35,35,35,40,40
qBD ,% réhospitalisation Boucle vers Décès,0,0,0,0,0,0
dBD ,délai réhospitalisation Boucle vers Décès,15,15,15,15,15,15
qMV ,% nouvelles guérisons seuls (M) vers nouveaux tests positifs en EHPAD et EMS,4,3,3,3,2,2
dMV ,délai contamination vers positifs EHPAD et EMS jours,7,7,7,7,7,7
qHD ,% Hôpital vers Décès sans passage réanimation,12,12,12,12.5,17,9
dHD ,délai Hôpital vers Décès sans passage réanimation,6,6,6,6,6,6
qVD ,% Positifs vers Décès en EHPAD et EMS,10,5,5,4,4,4
dVD ,délai Positifs vers Décès en EHPAD et EMS,-4,-4,-4,-4,-4,-4
dBR ,délai réhospitalisation Boucle vers retour à domicile jours,20,18,27,45,45,41
qBR ,% sortie réhospitalisation Boucle vers retour à domicile,80,90,90,90,95,95
